link,link-href,text
"Agriculture","https://en.wikipedia.org/wiki/History_of_agriculture","Between the 16th century and the mid-19th century, Britain saw a large increase in agricultural productivity and net output. New agricultural practices like enclosure, mechanization, four-field crop rotation to maintain soil nutrients, and selective breeding enabled an unprecedented population growth to 5.7 million in 1750, freeing up a significant percentage of the workforce, and thereby helped drive the Industrial Revolution. The productivity of wheat went up from about 19 bushels per acre in 1720 to around 30 bushels by 1840, marking a major turning point in history.[103]"
"In the Middle Ages","https://en.wikipedia.org/wiki/Science_in_the_Middle_Ages","In mathematics, the mathematician Muhammad ibn Musa al-Khwarizmi gave his name to the concept of the algorithm, while the term algebra is derived from al-jabr, the beginning of the title of one of his publications. What is now known as Arabic numerals originally came from India, but Muslim mathematicians did make several refinements to the number system, such as the introduction of decimal point notation. Mathematician Al-Battani (850-929) contributed to astronomy and mathematics, while scholar Al-Razi contributed to chemistry and medicine."
"Oceania","https://en.wikipedia.org/wiki/History_of_Oceania","Later, in the quest for Terra Australis, Spanish explorers in the 17th century discovered the Pitcairn and Vanuatu archipelagos, and sailed the Torres Strait between Australia and New Guinea, named after navigator Luís Vaz de Torres. In 1668 the Spanish founded a colony on Guam as a resting place for west-bound galleons. For a long time this was the only non-coastal European settlement in the Pacific."
"Middle Ages","https://en.wikipedia.org/wiki/Middle_Ages","Roman city life and culture changed greatly in the early Middle Ages. Although Italian cities remained inhabited, they contracted significantly in size. Rome, for instance, shrank from a population of hundreds of thousands to around 30,000 by the end of the 6th century. Roman temples were converted into Christian churches and city walls remained in use.[75] In Northern Europe, cities also shrank, while civic monuments and other public buildings were raided for building materials. The establishment of new kingdoms often meant some growth for the towns chosen as capitals.[76] Although there had been Jewish communities in many Roman cities, the Jews suffered periods of persecution after the conversion of the empire to Christianity. Officially they were tolerated, if subject to conversion efforts, and at times were even encouraged to settle in new areas.[77]"
"Mathematics","https://en.wikipedia.org/wiki/History_of_mathematics","During the Renaissance, the development of mathematics and of accounting were intertwined.[133] While there is no direct relationship between algebra and accounting, the teaching of the subjects and the books published often intended for the children of merchants who were sent to reckoning schools (in Flanders and Germany) or abacus schools (known as abbaco in Italy), where they learned the skills useful for trade and commerce. There is probably no need for algebra in performing bookkeeping operations, but for complex bartering operations or the calculation of compound interest, a basic knowledge of arithmetic was mandatory and knowledge of algebra was very useful."
"Bronze Age","https://en.wikipedia.org/wiki/Bronze_Age","The Apennine culture (also called Italian Bronze Age) is a technology complex of central and southern Italy spanning the Chalcolithic and Bronze Age proper. The Camuni were an ancient people of uncertain origin (according to Pliny the Elder, they were Euganei; according to Strabo, they were Rhaetians) who lived in Val Camonica – in what is now northern Lombardy – during the Iron Age, although human groups of hunters, shepherds and farmers are known to have lived in the area since the Neolithic."
"In Classical Antiquity","https://en.wikipedia.org/wiki/History_of_science_in_Classical_Antiquity","Aristotle (384–322 BC) disagreed with his teacher, Plato, in several important respects. While Aristotle agreed that truth must be eternal and unchanging, he maintained that we come to know the truth through the external world which we perceive with our senses. For Aristotle, directly observable things are real; ideas (or as he called them, forms) only exist as they express themselves in matter, such as in living things, or in the mind of an observer or artisan.[17]"
"Middle Ages","https://en.wikipedia.org/wiki/Middle_Ages","The Late Middle Ages was marked by difficulties and calamities including famine, plague, and war, which significantly diminished the population of Europe; between 1347 and 1350, the Black Death killed about a third of Europeans. Controversy, heresy, and the Western Schism within the Catholic Church paralleled the interstate conflict, civil strife, and peasant revolts that occurred in the kingdoms. Cultural and technological developments transformed European society, concluding the Late Middle Ages and beginning the early modern period."
"Psychology","https://en.wikipedia.org/wiki/History_of_psychology","The terms ""structure"" and ""organization"" were focal for the Gestalt psychologists. Stimuli were said to have a certain structure, to be organized in a certain way, and that it is to this structural organization, rather than to individual sensory elements, that the organism responds. When an animal is conditioned, it does not simply respond to the absolute properties of a stimulus, but to its properties relative to its surroundings. To use a favorite example of Köhler's, if conditioned to respond in a certain way to the lighter of two gray cards, the animal generalizes the relation between the two stimuli rather than the absolute properties of the conditioned stimulus: it will respond to the lighter of two cards in subsequent trials even if the darker card in the test trial is of the same intensity as the lighter one in the original training trials."
"Economics","https://en.wikipedia.org/wiki/History_of_economic_thought","After World War II, Canadian-born John Kenneth Galbraith (1908–2006) became one of the standard bearers for pro-active government and liberal-democrat politics. In The Affluent Society (1958), Galbraith argued that voters reaching a certain material wealth begin to vote against the common good. He also argued that the ""conventional wisdom"" of the conservative consensus was not enough to solve the problems of social inequality.[106] In an age of big business, he argued, it is unrealistic to think of markets of the classical kind. They set prices and use advertising to create artificial demand for their own products, distorting people's real preferences. Consumer preferences actually come to reflect those of corporations – a ""dependence effect"" – and the economy as a whole is geared to irrational goals.[107] In The New Industrial State Galbraith argued that economic decisions are planned by a private-bureaucracy, a technostructure of experts who manipulate marketing and public relations channels. This hierarchy is self-serving, profits are no longer the prime motivator, and even managers are not in control. Because they are the new planners, corporations detest risk, require steady economic and stable markets. They recruit governments to serve their interests with fiscal and monetary policy, for instance adhering to monetarist policies which enrich money-lenders in the City through increases in interest rates. While the goals of an affluent society and complicit government serve the irrational technostructure, public space is simultaneously impoverished. Galbraith paints the picture of stepping from penthouse villas onto unpaved streets, from landscaped gardens to unkempt public parks. In Economics and the Public Purpose (1973) Galbraith advocates a ""new socialism"" as the solution, nationalising military production and public services such as health care, introducing disciplined salary and price controls to reduce inequality.[108]"
"Film","https://en.wikipedia.org/wiki/History_of_film","Recently there has been a revival in 3D film popularity the first being James Cameron's Ghosts of the Abyss which was released as the first full-length 3-D IMAX feature filmed with the Reality Camera System. This camera system used the latest HD video cameras, not film, and was built for Cameron by Emmy nominated Director of Photography Vince Pace, to his specifications. The same camera system was used to film Spy Kids 3D: Game Over (2003), Aliens of the Deep IMAX (2005), and The Adventures of Sharkboy and Lavagirl in 3-D (2005)."
"Africa","https://en.wikipedia.org/wiki/History_of_Africa","From the mid-7th century, the Arab slave trade saw Muslim Arabs enslave Africans following an armistice between the Rashidun Caliphate and the Kingdom of Makuria after the Second Battle of Dongola in 652 CE. They were transported, along with Asians and Europeans, across the Red Sea, Indian Ocean, and Sahara Desert."
"History of China","https://en.wikipedia.org/wiki/History_of_China","Major military campaigns were launched to weaken the nomadic Xiongnu Empire, limiting their influence north of the Great Wall. Along with the diplomatic efforts led by Zhang Qian, the sphere of influence of the Han Empire extended to the states in the Tarim Basin, opened up the Silk Road that connected China to the west, stimulating bilateral trade and cultural exchange. To the south, various small kingdoms far beyond the Yangtze River Valley were formally incorporated into the empire."
"Economics","https://en.wikipedia.org/wiki/History_of_economic_thought","David Hume (1711–1776) agreed with North's philosophy and denounced mercantilist assumptions. His contributions were set down in Political Discourses (1752), and later consolidated in his Essays, Moral, Political, Literary (1777). Adding to the argument that it was undesirable to strive for a favourable balance of trade, Hume argued that it is, in any case, impossible."
"Physics","https://en.wikipedia.org/wiki/History_of_physics","Elements of what became physics were drawn primarily from the fields of astronomy, optics, and mechanics, which were methodologically united through the study of geometry. These mathematical disciplines began in antiquity with the Babylonians and with Hellenistic writers such as Archimedes and Ptolemy. Ancient philosophy, meanwhile – including what was called ""physics"" – focused on explaining nature through ideas such as Aristotle's four types of ""cause""."
"History of India","https://en.wikipedia.org/wiki/History_of_India","The time between 200 BCE and ca. 1200 CE is the ""Classical Age"" of India. It can be divided in various sub-periods, depending on the chosen periodisation. Classical period begins after the decline of the Maurya Empire, and the corresponding rise of the Satavahana dynasty, beginning with Simuka, from 230 BCE. The Gupta Empire (4th–6th century) is regarded as the ""Golden Age"" of Hinduism, although a host of kingdoms ruled over India in these centuries. Also, the Sangam literature flourished from the 3rd century BCE to the 3rd century CE in southern India.[12] During this period, India is estimated to have had the largest economy in the world; controlling between one third and one fourth of the world's wealth.[139][140]"
"Medieval","https://en.wikipedia.org/wiki/Medieval_philosophy","Medieval philosophy is characteristically theological. Subjects discussed in this period include:"
"Ecology","https://en.wikipedia.org/wiki/History_of_ecology",""
"Architecture","https://en.wikipedia.org/wiki/History_of_architecture","Modern architecture is generally characterized by simplification of form and creation of ornament from the structure and theme of the building. It is a term applied to an overarching movement, with its exact definition and scope varying widely.[23] Modern architecture has continued into the 21st century as a contemporary style, especially for corporate office buildings. In a broader sense, modern architecture began at the turn of the 20th century with efforts to reconcile the principles underlying architectural design with rapid technological advancement and the modernization of society. It would take the form of numerous movements, schools of design, and architectural styles, some in tension with one another, and often equally defying such classification.[23]"
"History of India","https://en.wikipedia.org/wiki/History_of_India","The Persian and Greek invasions had repercussions in the north-western regions of the Indian subcontinent. The region of Gandhara, or present-day eastern Afghanistan and north-west Pakistan, became a melting pot of Indian, Persian, Central Asian, and Greek cultures and gave rise to a hybrid culture, Greco-Buddhism, which lasted until the 5th century CE and influenced the artistic development of Mahayana Buddhism."
"Psychology","https://en.wikipedia.org/wiki/History_of_psychology","With the increasing involvement of other disciplines (such as philosophy, computer science, and neuroscience) in the quest to understand the mind, the umbrella discipline of cognitive science has been created as a means of focusing such efforts in a constructive way."
"Film","https://en.wikipedia.org/wiki/History_of_film",""
"South America","https://en.wikipedia.org/wiki/History_of_South_America","By the start of the century, the United States continued its interventionist attitude, which aimed to directly defend its interests in the region. This was officially articulated in Theodore Roosevelt's Big Stick Doctrine, which modified the old Monroe Doctrine, which had simply aimed to deter European intervention in the hemisphere."
"Middle Ages","https://en.wikipedia.org/wiki/Middle_Ages","During the Later Middle Ages, theologians such as John Duns Scotus (d. 1308)[AG] and William of Ockham (d. c. 1348),[220] led a reaction against scholasticism, objecting to the application of reason to faith. Their efforts undermined the prevailing Platonic idea of ""universals"". Ockham's insistence that reason operates independently of faith allowed science to be separated from theology and philosophy.[303] Legal studies were marked by the steady advance of Roman law into areas of jurisprudence previously governed by customary law. The lone exception to this trend was in England, where the common law remained pre-eminent. Other countries codified their laws; legal codes were promulgated in Castile, Poland, and Lithuania.[304]"
"Industrial Age","https://en.wikipedia.org/wiki/Industrial_Revolution","The First Industrial Revolution evolved into the Second Industrial Revolution in the transition years between 1840 and 1870, when technological and economic progress continued with the increasing adoption of steam transport (steam-powered railways, boats and ships), the large-scale manufacture of machine tools and the increasing use of machinery in steam-powered factories.[14][15][16]"
"Australia","https://en.wikipedia.org/wiki/History_of_Australia","A final violent confrontation with police took place at Glenrowan on 28 June 1880. Kelly, dressed in home-made plate metal armour and helmet, was captured and sent to jail. He was hanged for murder at Old Melbourne Gaol in November 1880. His daring and notoriety made him an iconic figure in Australian history, folklore, literature, art and film."
"Computing","https://en.wikipedia.org/wiki/History_of_computing","Starting with known special cases, the calculation of logarithms and trigonometric functions can be performed by looking up numbers in a mathematical table, and interpolating between known cases. For small enough differences, this linear operation was accurate enough for use in navigation and astronomy in the Age of Exploration. The uses of interpolation have thrived in the past 500 years: by the twentieth century Leslie Comrie and W.J. Eckert systematized the use of interpolation in tables of numbers for punch card calculation."
"Industrial Age","https://en.wikipedia.org/wiki/Industrial_Revolution","The Industrial Revolution improved Britain's transport infrastructure with a turnpike road network, a canal and waterway network, and a railway network. Raw materials and finished products could be moved more quickly and cheaply than before. Improved transportation also allowed new ideas to spread quickly."
"In the Middle Ages","https://en.wikipedia.org/wiki/Science_in_the_Middle_Ages","History of science is an academic discipline, with an international community of specialists. Main professional organizations for this field include the History of Science Society, the British Society for the History of Science, and the European Society for the History of Science."
"Industrial Age","https://en.wikipedia.org/wiki/Industrial_Revolution","The first successful piston steam engine was introduced by Thomas Newcomen before 1712. A number of Newcomen engines were successfully put to use in Britain for draining hitherto unworkable deep mines, with the engine on the surface; these were large machines, requiring a lot of capital to build, and produced about 5 hp (3.7 kW). They were extremely inefficient by modern standards, but when located where coal was cheap at pit heads, opened up a great expansion in coal mining by allowing mines to go deeper. Despite their disadvantages, Newcomen engines were reliable and easy to maintain and continued to be used in the coalfields until the early decades of the 19th century. By 1729, when Newcomen died, his engines had spread (first) to Hungary in 1722, Germany, Austria, and Sweden. A total of 110 are known to have been built by 1733 when the joint patent expired, of which 14 were abroad. In the 1770s the engineer John Smeaton built some very large examples and introduced a number of improvements. A total of 1,454 engines had been built by 1800.[44]"
"Education","https://en.wikipedia.org/wiki/History_of_education","The oldest of the Upanishads - another part of Hindu scriptures - date from around 500 BC. These texts encouraged an exploratory learning process where teachers and students were co-travellers in a search for truth. The teaching methods used reasoning and questioning. Nothing was labeled as the final answer.[18]"
"Prehistory","https://en.wikipedia.org/wiki/Prehistory","Regions that experienced greater environmental effects as the last ice age ended have a much more evident Mesolithic era, lasting millennia. In Northern Europe, societies were able to live well on rich food supplies from the marshlands fostered by the warmer climate. Such conditions produced distinctive human behaviours that are preserved in the material record, such as the Maglemosian and Azilian cultures. These conditions also delayed the coming of the Neolithic until as late as 4000 BC (6,000 BP) in northern Europe."
"Biotechnology","https://en.wikipedia.org/wiki/History_of_biotechnology","Atypical as Lederberg was at Asilomar, his optimistic vision of genetic engineering would soon lead to the development of the biotechnology industry. Over the next two years, as public concern over the dangers of recombinant DNA research grew, so too did interest in its technical and practical applications. Curing genetic diseases remained in the realms of science fiction, but it appeared that producing human simple proteins could be good business. Insulin, one of the smaller, best characterized and understood proteins, had been used in treating type 1 diabetes for a half century. It had been extracted from animals in a chemically slightly different form from the human product. Yet, if one could produce synthetic human insulin, one could meet an existing demand with a product whose approval would be relatively easy to obtain from regulators. In the period 1975 to 1977, synthetic ""human"" insulin represented the aspirations for new products that could be made with the new biotechnology. Microbial production of synthetic human insulin was finally announced in September 1978 and was produced by a startup company, Genentech.[15] Although that company did not commercialize the product themselves, instead, it licensed the production method to Eli Lilly and Company. 1978 also saw the first application for a patent on a gene, the gene which produces human growth hormone, by the University of California, thus introducing the legal principle that genes could be patented. Since that filing, almost 20% of the more than 20,000 genes in the human DNA have been patented.[citation needed]"
"Sociology","https://en.wikipedia.org/wiki/History_of_sociology","In the 1830s, Karl Marx was part of the Young Hegelians in Berlin, which discussed and wrote about the legacy of the philosopher, Hegel (1770–1831) (whose seminal tome, Science of Logic was published in 1816). Although, at first sympathetic with the groups strategy of attacking Christianity to undermine the Prussian establishment, he later formed divergent ideas and broke with the Young Hegelians, attacking their views in works such as The German Ideology. Witnessing the struggles of the laborers during the Industrial Revolution, Marx concluded that religion (or the ""ideal"") is not the basis of the establishment's power, but rather ownership of capital (or the ""material"")- processes that employ technologies, land, money and especially human labor-power to create surplus-value[23] — lie at the heart of the establishment's power. This ""stood Hegel on his head"" as he theorized that, at its core, the engine of history and the structure of society was fundamentally material rather than ideal. He theorized that both the realm of cultural production and political power created ideologies that perpetuated the oppression of the working class and the concentration of wealth within the capitalist class: the owners of the means of production. Marx predicted that the capitalist class would feel compelled to reduce wages or replace laborers with technology, which would ultimately increase wealth among the capitalists. However, as the workers were also the primary consumers of the goods produced, reducing their wages would result in an inevitable collapse in capitalism as a mode of economic production.[2]"
"Agriculture","https://en.wikipedia.org/wiki/History_of_agriculture","In the Andes region of South America, with civilizations including the Inca, the major crop was the potato, domesticated approximately 7,000–10,000 years ago.[63][64][65] Coca, still a major crop to this day, was domesticated in the Andes, as were the peanut, tomato, tobacco, and pineapple.[32] Cotton was domesticated in Peru by 3,600 BC.[66] Animals were also domesticated, including llamas, alpacas, and guinea pigs.[67]"
"History of India","https://en.wikipedia.org/wiki/History_of_India","The Maurya Empire (322–185 BCE) was the first empire to unify India into one state, and was the largest on the Indian subcontinent. At its greatest extent, the Mauryan Empire stretched to the north up to the natural boundaries of the Himalayas and to the east into what is now Assam. To the west, it reached beyond modern Pakistan, to the Hindu Kush mountains in what is now Afghanistan. The empire was established by Chandragupta Maurya assisted by Chanakya (Kautilya) in Magadha (in modern Bihar) when he overthrew the Nanda Dynasty.[131] Chandragupta's son Bindusara succeeded to the throne around 297 BCE. By the time he died in c. 272 BCE, a large part of the subcontinent was under Mauryan suzerainty. However, the region of Kalinga (around modern day Odisha) remained outside Mauryan control, perhaps interfering with their trade with the south.[132]"
"Ecology","https://en.wikipedia.org/wiki/History_of_ecology","Post-Earth Day, besides questions of advocacy and professionalism, ecology also had to deal with questions having to do with its basic principles. Many of the theoretical principles and methods of both ecosystem science and evolutionary ecology began to show little value in environmental analysis and assessment.[87] Ecologist, in general, started to question the methods and logic of their science under the pressure of its new notoriety.[48][88][89] Meanwhile, personnel with government agencies and environmental advocacy groups were accused of religiously applying dubious principles in their conservation work.[90] Management of endangered Spotted Owl populations brought the controversy to a head.[91]"
"Theatre","https://en.wikipedia.org/wiki/History_of_theatre","The few proponents of popular travelling theatre in Nigeria include Duro Ladipo and Moses Olaiya (a popular comic act). These practitioners contributed much to launch of African theatre during the period of mixture and experimentation of the indigenous with the Western theatre."
"Europe","https://en.wikipedia.org/wiki/History_of_Europe","Over the next year the tide was turned and the Germans started to suffer a series of defeats, for example in the siege of Stalingrad and at Kursk. Meanwhile, Japan (allied to Germany and Italy since September 1940) attacked Britain and the United States on 7 December 1941; Germany then completed its over-extension by declaring war on the United States. War raged between the Axis Powers (Germany, Italy, and Japan) and the Allied Forces (British Empire, Soviet Union, and the United States). The Allied Forces won in North Africa, invaded Italy in 1943, and recaptured France in 1944. In the spring of 1945 Germany itself was invaded from the east by the Soviet Union and from the west by the other Allies. As the Red Army conquered the Reichstag in Berlin, Hitler committed suicide and Germany surrendered in early May.[121] World War II was the deadliest conflict in human history, causing between 50 and 80 million deaths, the majority of whom were civilians (approximately 38 to 55 million).[122]"
"Painting","https://en.wikipedia.org/wiki/History_of_painting","In post-Antique Catholic Europe the first distinctive artistic style to emerge that included painting was the Insular art of the British Isles, where the only surviving examples (and quite likely the only medium in which painting was used) are miniatures in Illuminated manuscripts such as the Book of Kells.[35] These are most famous for their abstract decoration, although figures, and sometimes scenes, were also depicted, especially in Evangelist portraits. Carolingian and Ottonian art also survives mostly in manuscripts, although some wall-painting remain, and more are documented. The art of this period combines Insular and ""barbarian"" influences with a strong Byzantine influence and an aspiration to recover classical monumentality and poise."
"Australia","https://en.wikipedia.org/wiki/History_of_Australia","In 1824 the Governor Sir Thomas Brisbane, commissioned Hamilton Hume and former Royal Navy Captain William Hovell to lead an expedition to find new grazing land in the south of the colony, and also to find an answer to the mystery of where New South Wales' western rivers flowed. Over 16 weeks in 1824–25, Hume and Hovell journeyed to Port Phillip and back. They made many important discoveries including the Murray River (which they named the Hume), many of its tributaries, and good agricultural and grazing lands between Gunning, New South Wales and Corio Bay, Port Phillip.[177]"
"Astronomy","https://en.wikipedia.org/wiki/History_of_astronomy","Natural philosophy (particularly Aristotelian physics) was separated from astronomy by Ibn al-Haytham (Alhazen) in the 11th century, by Ibn al-Shatir in the 14th century,[49] and Qushji in the 15th century, leading to the development of an astronomical physics.[50]"
"Modern history","https://en.wikipedia.org/wiki/Modern_history","Our most recent era—Modern Times—begins with the end of these revolutions in the 19th century,[36] and includes the World Wars era[37] (encompassing World War I and World War II) and the emergence of socialist countries that led to the Cold War. The contemporary era follows shortly afterward with the explosion of research and increase of knowledge known as the Information Age in the latter 20th and the early 21st century. Today's Postmodern era is seen in widespread digitality.[38]"
"Industrial Age","https://en.wikipedia.org/wiki/Industrial_Revolution","The Industrial Revolution was the first period in history during which there was a simultaneous increase in both population and per capita income.[96]"
"Europe","https://en.wikipedia.org/wiki/History_of_Europe","The world wars ended the pre-eminent position of the old European powers in the world. At the Yalta Conference, Europe was divided into spheres of influence between the victors of World War II, and soon became the principal zone of contention in the Cold War between the two power blocs, the Western countries and the Communist bloc. The United States and the majority of European liberal democracies at the time (United Kingdom, France, Italy, Netherlands, West Germany etc.) established the NATO military alliance. Later, the Soviet Union and its satellites in Europe (Bulgaria, Czechoslovakia, East Germany, Hungary, Poland, and Romania) established the Warsaw Pact as a counterpoint to NATO. Each alliance was intended to defend against a potential invasion by the other."
"Asia","https://en.wikipedia.org/wiki/History_of_Asia","By 1368, Zhu Yuanzhang had claimed himself Hongwu Emperor and established the Ming Dynasty of China. Immediately, the new emperor and his followers drove the Mongols and their culture out of China and beyond the Great Wall.[25] The new emperor was somewhat suspicious of the scholars that dominated China's bureaucracy, for he had been born a peasant and was uneducated.[25] Nevertheless, Confucian scholars were necessary to China's bureaucracy and were reestablished as well as reforms that would improve the exam systems and make them more important in entering the bureaucracy than ever before. The exams became more rigorous, cut down harshly on cheating, and those who excelled were more highly appraised. Finally, Hongwu also directed more power towards the role of emperor so as to end the corrupt influences of the bureaucrats."
"Medieval","https://en.wikipedia.org/wiki/Medieval_philosophy","The history of medieval philosophy is traditionally divided into two main periods: the period in the Latin West following the Early Middle Ages until the 12th century, when the works of Aristotle and Plato were preserved and cultivated and the 'golden age' of the 12th, 13th and 14th centuries in the Latin West, which witnessed the culmination of the recovery of ancient philosophy, along with a reception of its Arabic commentators, and significant developments in the field of Philosophy of religion, Logic and Metaphysics."
"Renaissance","https://en.wikipedia.org/wiki/Renaissance","Prince Ivan III introduced Renaissance architecture to Russia by inviting a number of architects from Italy, who brought new construction techniques and some Renaissance style elements with them, while in general following the traditional designs of Russian architecture. In 1475 the Bolognese architect Aristotele Fioravanti came to rebuild the Cathedral of the Dormition in the Moscow Kremlin, which had been damaged in an earthquake. Fioravanti was given the 12th-century Vladimir Cathedral as a model, and he produced a design combining traditional Russian style with a Renaissance sense of spaciousness, proportion and symmetry."
"Money","https://en.wikipedia.org/wiki/History_of_money","The earliest means of storage are thought to be money-boxes (θησαυροί[30]) made similar to the construction of a bee-hive,[31][32] as of the Mycenae tombs of 1550–1500 BCE.[33][34][35]"
"Geography","https://en.wikipedia.org/wiki/History_of_geography","By the early 12th century the Normans had overthrown the Arabs in Sicily. Palermo had become a crossroads for travelers and traders from many nations and the Norman King Roger II, having great interest in geography, commissioned the creation of a book and map that would compile all this wealth of geographical information. Researchers were sent out and the collection of data took 15 years.[50] Al-Idrisi, one of few Arabs who had ever been to France and England as well as Spain, Central Asia and Constantinople, was employed to create the book from this mass of data. Utilizing the information inherited from the classical geographers, he created one of the most accurate maps of the world to date, the Tabula Rogeriana (1154). The map, written in Arabic, shows the Eurasian continent in its entirety and the northern part of Africa."
"Agriculture","https://en.wikipedia.org/wiki/History_of_agriculture","Wheat, barley, and jujube were domesticated in the Indian subcontinent by 9000 BC; Domestication of sheep and goat soon followed.[40] Barley and wheat cultivation—along with the domestication of cattle, primarily sheep and goat—continued in Mehrgarh culture by 8000–6000 BC.[41][42] This period also saw the first domestication of the elephant.[40] Pastoral farming in India included threshing, planting crops in rows—either of two or of six—and storing grain in granaries.[42][43] By the 5th millennium BC, agricultural communities became widespread in Kashmir.[42] Irrigation was developed in the Indus Valley Civilization by around 4500 BC.[44] The size and prosperity of the Indus civilization grew as a result of this innovation, which eventually led to more planned settlements making use of drainage and sewers.[44] Archeological evidence of an animal-drawn plough dates back to 2500 BC in the Indus Valley Civilization.[45]"
