link,link-href,text,1
History of India,https://en.wikipedia.org/wiki/History_of_India,"The time between 200 BCE and ca. 1200 CE be the `` Classical Age'' of India. It can be divide in various sub-periods, depend on the chosen periodisation. Classical period begin after the decline of the Maurya Empire, and the corresponding rise of the Satavahana dynasty, begin with Simuka, from 230 BCE. The Gupta Empire( 4th–6th century) be regard as the `` Golden Age'' of Hinduism, although a host of kingdoms rule over India in these centuries. Also, the Sangam literature flourish from the 3rd century BCE to the 3rd century CE in southern India.[ 12] During this period, India be estimate to have have the largest economy in the world; control between one third and one fourth of the world's wealth.[ 139][ 140]",0
Medieval,https://en.wikipedia.org/wiki/Medieval_philosophy,Medieval philosophy is characteristically theological. Subjects discussed in this period include:,1
Ecology,https://en.wikipedia.org/wiki/History_of_ecology,,1
Architecture,https://en.wikipedia.org/wiki/History_of_architecture,"Modern architecture be generally characterize by simplification of form and creation of ornament from the structure and theme of the building. It be a term apply to an overarching movement, with its exact definition and scope vary widely.[ 23] Modern architecture have continue into the 21st century as a contemporary style, especially for corporate office buildings. In a broader sense, modern architecture begin at the turn of the 20th century with efforts to reconcile the principles underlie architectural design with rapid technological advancement and the modernization of society. It would take the form of numerous movements, schools of design, and architectural styles, some in tension with one another, and often equally defy such classification.[ 23]",0
History of India,https://en.wikipedia.org/wiki/History_of_India,"The Persian and Greek invasions had repercussions in the north-western regions of the Indian subcontinent. The region of Gandhara, or present-day eastern Afghanistan and north-west Pakistan, became a melting pot of Indian, Persian, Central Asian, and Greek cultures and gave rise to a hybrid culture, Greco-Buddhism, which lasted until the 5th century CE and influenced the artistic development of Mahayana Buddhism.",1
Psychology,https://en.wikipedia.org/wiki/History_of_psychology,"With the increase involvement of other disciplines( such as philosophy, computer science, and neuroscience) in the quest to understand the mind, the umbrella discipline of cognitive science have be create as a means of focus such efforts in a constructive way.",0
Film,https://en.wikipedia.org/wiki/History_of_film,,0
South America,https://en.wikipedia.org/wiki/History_of_South_America,"By the start of the century, the United States continue its interventionist attitude, which aim to directly defend its interests in the region. This be officially articulate in Theodore Roosevelt's Big Stick Doctrine, which modify the old Monroe Doctrine, which have simply aim to deter European intervention in the hemisphere.",0
Middle Ages,https://en.wikipedia.org/wiki/Middle_Ages,"During the Later Middle Ages, theologians such as John Duns Scotus( d. 1308)[ AG] and William of Ockham( d. c. 1348),[ 220] lead a reaction against scholasticism, object to the application of reason to faith. Their efforts undermine the prevailing Platonic idea of `` universals''. Ockham's insistence that reason operate independently of faith allow science to be separate from theology and philosophy.[ 303] Legal studies be mark by the steady advance of Roman law into areas of jurisprudence previously govern by customary law. The lone exception to this trend be in England, where the common law remain pre-eminent. Other countries codify their laws; legal codes be promulgate in Castile, Poland, and Lithuania.[ 304]",0
Industrial Age,https://en.wikipedia.org/wiki/Industrial_Revolution,"The First Industrial Revolution evolved into the Second Industrial Revolution in the transition years between 1840 and 1870, when technological and economic progress continued with the increasing adoption of steam transport (steam-powered railways, boats and ships), the large-scale manufacture of machine tools and the increasing use of machinery in steam-powered factories.[14][15][16]",1
Australia,https://en.wikipedia.org/wiki/History_of_Australia,"A final violent confrontation with police took place at Glenrowan on 28 June 1880. Kelly, dressed in home-made plate metal armour and helmet, was captured and sent to jail. He was hanged for murder at Old Melbourne Gaol in November 1880. His daring and notoriety made him an iconic figure in Australian history, folklore, literature, art and film.",1
Computing,https://en.wikipedia.org/wiki/History_of_computing,"Starting with known special cases, the calculation of logarithms and trigonometric functions can be performed by looking up numbers in a mathematical table, and interpolating between known cases. For small enough differences, this linear operation was accurate enough for use in navigation and astronomy in the Age of Exploration. The uses of interpolation have thrived in the past 500 years: by the twentieth century Leslie Comrie and W.J. Eckert systematized the use of interpolation in tables of numbers for punch card calculation.",1
Industrial Age,https://en.wikipedia.org/wiki/Industrial_Revolution,"The Industrial Revolution improve Britain's transport infrastructure with a turnpike road network, a canal and waterway network, and a railway network. Raw materials and finish products could be move more quickly and cheaply than before. Improved transportation also allow new ideas to spread quickly.",0
In the Middle Ages,https://en.wikipedia.org/wiki/Science_in_the_Middle_Ages,"History of science be an academic discipline, with an international community of specialists. Main professional organizations for this field include the History of Science Society, the British Society for the History of Science, and the European Society for the History of Science.",0
Industrial Age,https://en.wikipedia.org/wiki/Industrial_Revolution,"The first successful piston steam engine be introduce by Thomas Newcomen before 1712. A number of Newcomen engines be successfully put to use in Britain for drain hitherto unworkable deep mines, with the engine on the surface; these be large machines, require a lot of capital to build, and produce about 5 hp( 3.7 kW). They be extremely inefficient by modern standards, but when locate where coal be cheap at pit heads, open up a great expansion in coal mining by allow mines to go deeper. Despite their disadvantages, Newcomen engines be reliable and easy to maintain and continued to be use in the coalfields until the early decades of the 19th century. By 1729, when Newcomen die, his engines have spread( first) to Hungary in 1722, Germany, Austria, and Sweden. A total of 110 be know to have be build by 1733 when the joint patent expire, of which 14 be abroad. In the 1770s the engineer John Smeaton build some very large examples and introduce a number of improvements. A total of 1,454 engines have be build by 1800.[ 44]",0
Education,https://en.wikipedia.org/wiki/History_of_education,The oldest of the Upanishads- another part of Hindu scriptures- date from around 500 BC. These texts encourage an exploratory learning process where teachers and students be co-travellers in a search for truth. The teaching methods use reasoning and question. Nothing be label as the final answer.[ 18],0
Prehistory,https://en.wikipedia.org/wiki/Prehistory,"Regions that experience greater environmental effects as the last ice age end have a much more evident Mesolithic era, last millennia. In Northern Europe, societies be able to live well on rich food supplies from the marshlands foster by the warmer climate. Such conditions produce distinctive human behaviours that be preserve in the material record, such as the Maglemosian and Azilian cultures. These conditions also delay the come of the Neolithic until as late as 4000 BC( 6,000 BP) in northern Europe.",0
Biotechnology,https://en.wikipedia.org/wiki/History_of_biotechnology,"Atypical as Lederberg was at Asilomar, his optimistic vision of genetic engineering would soon lead to the development of the biotechnology industry. Over the next two years, as public concern over the dangers of recombinant DNA research grew, so too did interest in its technical and practical applications. Curing genetic diseases remained in the realms of science fiction, but it appeared that producing human simple proteins could be good business. Insulin, one of the smaller, best characterized and understood proteins, had been used in treating type 1 diabetes for a half century. It had been extracted from animals in a chemically slightly different form from the human product. Yet, if one could produce synthetic human insulin, one could meet an existing demand with a product whose approval would be relatively easy to obtain from regulators. In the period 1975 to 1977, synthetic ""human"" insulin represented the aspirations for new products that could be made with the new biotechnology. Microbial production of synthetic human insulin was finally announced in September 1978 and was produced by a startup company, Genentech.[15] Although that company did not commercialize the product themselves, instead, it licensed the production method to Eli Lilly and Company. 1978 also saw the first application for a patent on a gene, the gene which produces human growth hormone, by the University of California, thus introducing the legal principle that genes could be patented. Since that filing, almost 20% of the more than 20,000 genes in the human DNA have been patented.[citation needed]",1
Sociology,https://en.wikipedia.org/wiki/History_of_sociology,"In the 1830s, Karl Marx be part of the Young Hegelians in Berlin, which discuss and write about the legacy of the philosopher, Hegel( 1770–1831)( whose seminal tome, Science of Logic be publish in 1816). Although, at first sympathetic with the groups strategy of attack Christianity to undermine the Prussian establishment, he later form divergent ideas and break with the Young Hegelians, attack their views in works such as The German Ideology. Witnessing the struggles of the laborers during the Industrial Revolution, Marx conclude that religion( or the `` ideal'') be not the basis of the establishment's power, but rather ownership of capital( or the `` material'')- process that employ technologies, land, money and especially human labor-power to create surplus-value[ 23] — lie at the heart of the establishment's power. This `` stand Hegel on his head'' as he theorize that, at its core, the engine of history and the structure of society be fundamentally material rather than ideal. He theorize that both the realm of cultural production and political power create ideologies that perpetuate the oppression of the work class and the concentration of wealth within the capitalist class: the owners of the means of production. Marx predict that the capitalist class would feel compel to reduce wages or replace laborers with technology, which would ultimately increase wealth among the capitalists. However, as the workers be also the primary consumers of the goods produce, reduce their wages would result in an inevitable collapse in capitalism as a mode of economic production.[ 2]",0
Agriculture,https://en.wikipedia.org/wiki/History_of_agriculture,"In the Andes region of South America, with civilizations including the Inca, the major crop was the potato, domesticated approximately 7,000–10,000 years ago.[63][64][65] Coca, still a major crop to this day, was domesticated in the Andes, as were the peanut, tomato, tobacco, and pineapple.[32] Cotton was domesticated in Peru by 3,600 BC.[66] Animals were also domesticated, including llamas, alpacas, and guinea pigs.[67]",1
History of India,https://en.wikipedia.org/wiki/History_of_India,"The Maurya Empire( 322–185 BCE) be the first empire to unify India into one state, and be the largest on the Indian subcontinent. At its greatest extent, the Mauryan Empire stretch to the north up to the natural boundaries of the Himalayas and to the east into what be now Assam. To the west, it reach beyond modern Pakistan, to the Hindu Kush mountains in what be now Afghanistan. The empire be establish by Chandragupta Maurya assist by Chanakya( Kautilya) in Magadha( in modern Bihar) when he overthrow the Nanda Dynasty.[ 131] Chandragupta's son Bindusara succeed to the throne around 297 BCE. By the time he die in c. 272 BCE, a large part of the subcontinent be under Mauryan suzerainty. However, the region of Kalinga( around modern day Odisha) remain outside Mauryan control, perhaps interfere with their trade with the south.[ 132]",0
Ecology,https://en.wikipedia.org/wiki/History_of_ecology,"Post-Earth Day, besides questions of advocacy and professionalism, ecology also had to deal with questions having to do with its basic principles. Many of the theoretical principles and methods of both ecosystem science and evolutionary ecology began to show little value in environmental analysis and assessment.[87] Ecologist, in general, started to question the methods and logic of their science under the pressure of its new notoriety.[48][88][89] Meanwhile, personnel with government agencies and environmental advocacy groups were accused of religiously applying dubious principles in their conservation work.[90] Management of endangered Spotted Owl populations brought the controversy to a head.[91]",1
Theatre,https://en.wikipedia.org/wiki/History_of_theatre,The few proponents of popular travel theatre in Nigeria include Duro Ladipo and Moses Olaiya( a popular comic act). These practitioners contribute much to launch of African theatre during the period of mixture and experimentation of the indigenous with the Western theatre.,0
Europe,https://en.wikipedia.org/wiki/History_of_Europe,"Over the next year the tide be turn and the Germans start to suffer a series of defeats, for example in the siege of Stalingrad and at Kursk. Meanwhile, Japan( ally to Germany and Italy since September 1940) attack Britain and the United States on 7 December 1941; Germany then complete its over-extension by declare war on the United States. War rag between the Axis Powers( Germany, Italy, and Japan) and the Allied Forces( British Empire, Soviet Union, and the United States). The Allied Forces win in North Africa, invade Italy in 1943, and recapture France in 1944. In the spring of 1945 Germany itself be invade from the east by the Soviet Union and from the west by the other Allies. As the Red Army conquer the Reichstag in Berlin, Hitler commit suicide and Germany surrender in early May.[ 121] World War II be the deadliest conflict in human history, cause between 50 and 80 million deaths, the majority of whom be civilians( approximately 38 to 55 million).[ 122]",0
Painting,https://en.wikipedia.org/wiki/History_of_painting,"In post-Antique Catholic Europe the first distinctive artistic style to emerge that included painting was the Insular art of the British Isles, where the only surviving examples (and quite likely the only medium in which painting was used) are miniatures in Illuminated manuscripts such as the Book of Kells.[35] These are most famous for their abstract decoration, although figures, and sometimes scenes, were also depicted, especially in Evangelist portraits. Carolingian and Ottonian art also survives mostly in manuscripts, although some wall-painting remain, and more are documented. The art of this period combines Insular and ""barbarian"" influences with a strong Byzantine influence and an aspiration to recover classical monumentality and poise.",1
Australia,https://en.wikipedia.org/wiki/History_of_Australia,"In 1824 the Governor Sir Thomas Brisbane, commissioned Hamilton Hume and former Royal Navy Captain William Hovell to lead an expedition to find new grazing land in the south of the colony, and also to find an answer to the mystery of where New South Wales' western rivers flowed. Over 16 weeks in 1824–25, Hume and Hovell journeyed to Port Phillip and back. They made many important discoveries including the Murray River (which they named the Hume), many of its tributaries, and good agricultural and grazing lands between Gunning, New South Wales and Corio Bay, Port Phillip.[177]",1
Astronomy,https://en.wikipedia.org/wiki/History_of_astronomy,"Natural philosophy (particularly Aristotelian physics) was separated from astronomy by Ibn al-Haytham (Alhazen) in the 11th century, by Ibn al-Shatir in the 14th century,[49] and Qushji in the 15th century, leading to the development of an astronomical physics.[50]",1
Modern history,https://en.wikipedia.org/wiki/Modern_history,"Our most recent era—Modern Times—begins with the end of these revolutions in the 19th century,[36] and includes the World Wars era[37] (encompassing World War I and World War II) and the emergence of socialist countries that led to the Cold War. The contemporary era follows shortly afterward with the explosion of research and increase of knowledge known as the Information Age in the latter 20th and the early 21st century. Today's Postmodern era is seen in widespread digitality.[38]",1
Industrial Age,https://en.wikipedia.org/wiki/Industrial_Revolution,The Industrial Revolution was the first period in history during which there was a simultaneous increase in both population and per capita income.[96],1
Europe,https://en.wikipedia.org/wiki/History_of_Europe,"The world wars ended the pre-eminent position of the old European powers in the world. At the Yalta Conference, Europe was divided into spheres of influence between the victors of World War II, and soon became the principal zone of contention in the Cold War between the two power blocs, the Western countries and the Communist bloc. The United States and the majority of European liberal democracies at the time (United Kingdom, France, Italy, Netherlands, West Germany etc.) established the NATO military alliance. Later, the Soviet Union and its satellites in Europe (Bulgaria, Czechoslovakia, East Germany, Hungary, Poland, and Romania) established the Warsaw Pact as a counterpoint to NATO. Each alliance was intended to defend against a potential invasion by the other.",1
Asia,https://en.wikipedia.org/wiki/History_of_Asia,"By 1368, Zhu Yuanzhang have claim himself Hongwu Emperor and establish the Ming Dynasty of China. Immediately, the new emperor and his followers drive the Mongols and their culture out of China and beyond the Great Wall.[ 25] The new emperor be somewhat suspicious of the scholars that dominate China's bureaucracy, for he have be bear a peasant and be uneducated.[ 25] Nevertheless, Confucian scholars be necessary to China's bureaucracy and be reestablish as well as reforms that would improve the exam systems and make them more important in enter the bureaucracy than ever before. The exams become more rigorous, cut down harshly on cheating, and those who excel be more highly appraise. Finally, Hongwu also direct more power towards the role of emperor so as to end the corrupt influences of the bureaucrats.",0
Medieval,https://en.wikipedia.org/wiki/Medieval_philosophy,"The history of medieval philosophy be traditionally divide into two main periods: the period in the Latin West follow the Early Middle Ages until the 12th century, when the works of Aristotle and Plato be preserve and cultivate and the'golden age' of the 12th, 13th and 14th centuries in the Latin West, which witness the culmination of the recovery of ancient philosophy, along with a reception of its Arabic commentators, and significant developments in the field of Philosophy of religion, Logic and Metaphysics.",0
Renaissance,https://en.wikipedia.org/wiki/Renaissance,"Prince Ivan III introduce Renaissance architecture to Russia by invite a number of architects from Italy, who bring new construction techniques and some Renaissance style elements with them, while in general follow the traditional designs of Russian architecture. In 1475 the Bolognese architect Aristotele Fioravanti come to rebuild the Cathedral of the Dormition in the Moscow Kremlin, which have be damage in an earthquake. Fioravanti be give the 12th-century Vladimir Cathedral as a model, and he produce a design combine traditional Russian style with a Renaissance sense of spaciousness, proportion and symmetry.",0
Money,https://en.wikipedia.org/wiki/History_of_money,"The earliest means of storage are thought to be money-boxes (θησαυροί[30]) made similar to the construction of a bee-hive,[31][32] as of the Mycenae tombs of 1550–1500 BCE.[33][34][35]",1
Geography,https://en.wikipedia.org/wiki/History_of_geography,"By the early 12th century the Normans had overthrown the Arabs in Sicily. Palermo had become a crossroads for travelers and traders from many nations and the Norman King Roger II, having great interest in geography, commissioned the creation of a book and map that would compile all this wealth of geographical information. Researchers were sent out and the collection of data took 15 years.[50] Al-Idrisi, one of few Arabs who had ever been to France and England as well as Spain, Central Asia and Constantinople, was employed to create the book from this mass of data. Utilizing the information inherited from the classical geographers, he created one of the most accurate maps of the world to date, the Tabula Rogeriana (1154). The map, written in Arabic, shows the Eurasian continent in its entirety and the northern part of Africa.",1
Agriculture,https://en.wikipedia.org/wiki/History_of_agriculture,"Wheat, barley, and jujube be domesticate in the Indian subcontinent by 9000 BC; Domestication of sheep and goat soon follow.[ 40] Barley and wheat cultivation—along with the domestication of cattle, primarily sheep and goat—continued in Mehrgarh culture by 8000–6000 BC.[ 41][ 42] This period also saw the first domestication of the elephant.[ 40] Pastoral farming in India include threshing, plant crops in rows—either of two or of six—and store grain in granaries.[ 42][ 43] By the 5th millennium BC, agricultural communities become widespread in Kashmir.[ 42] Irrigation be develop in the Indus Valley Civilization by around 4500 BC.[ 44] The size and prosperity of the Indus civilization grow as a result of this innovation, which eventually lead to more planned settlements make use of drainage and sewers.[ 44] Archeological evidence of an animal-drawn plough dates back to 2500 BC in the Indus Valley Civilization.[ 45]",0
